# GREAT version 4.0.4	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	20291	SLC9B1P1	1	4.107871e-18	7.619690e-14	7.619690e-14	3.251129e+1	4.613782e-1	15	4.613782e-4	1.500000e-2	1	6.658041e-2	1.000000e+0	1.000000e+0	1.501943e+1	6.658041e-2	1	1	8.097166e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	SLC9B1P1
Ensembl Genes	20244	UBL4A	2	9.608422e-16	1.782266e-11	8.911331e-12	1.929954e+3	2.590736e-3	5	2.590736e-6	5.000000e-3	1	6.658041e-2	1.000000e+0	1.000000e+0	1.501943e+1	6.658041e-2	1	1	8.097166e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed	UBL4A
Ensembl Genes	20245	SLC10A3	3	4.658946e-13	8.641879e-9	2.880626e-9	5.597099e+2	8.933198e-3	5	8.933198e-6	5.000000e-3	1	6.658041e-2	1.000000e+0	1.000000e+0	1.501943e+1	6.658041e-2	1	1	8.097166e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed	SLC10A3
Ensembl Genes	19666	HDAC6	4	2.690504e-12	4.990616e-8	1.247654e-8	3.938974e+2	1.269366e-2	5	1.269366e-5	5.000000e-3	1	6.658041e-2	1.000000e+0	1.000000e+0	1.501943e+1	6.658041e-2	1	1	8.097166e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed	HDAC6
Ensembl Genes	10295	CYTH2	5	1.098747e-11	2.038066e-7	4.076132e-8	2.970793e+2	1.683052e-2	5	1.683052e-5	5.000000e-3	1	6.658041e-2	1.000000e+0	1.000000e+0	1.501943e+1	6.658041e-2	1	1	8.097166e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed	CYTH2
Ensembl Genes	18862	SPATA31A7	6	5.595175e-11	1.037849e-6	1.729748e-7	2.887235e+1	3.117169e-1	9	3.117169e-4	9.000000e-3	1	6.658041e-2	1.000000e+0	1.000000e+0	1.501943e+1	6.658041e-2	1	1	8.097166e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	SPATA31A7
Ensembl Genes	10296	LMTK3	7	1.141795e-10	2.117916e-6	3.025594e-7	1.856982e+2	2.692541e-2	5	2.692541e-5	5.000000e-3	1	6.658041e-2	1.000000e+0	1.000000e+0	1.501943e+1	6.658041e-2	1	1	8.097166e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed	LMTK3
Ensembl Genes	5467	POU4F1	8	3.584871e-10	6.649577e-6	8.311972e-7	3.121141e+1	2.563165e-1	8	2.563165e-4	8.000000e-3	1	6.658041e-2	1.000000e+0	1.000000e+0	1.501943e+1	6.658041e-2	1	1	8.097166e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	POU4F1
Ensembl Genes	3245	DGKZ	9	3.608796e-10	6.693956e-6	7.437729e-7	1.473494e+2	3.393294e-2	5	3.393294e-5	5.000000e-3	1	6.658041e-2	1.000000e+0	1.000000e+0	1.501943e+1	6.658041e-2	1	1	8.097166e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed	DGKZ
Ensembl Genes	14370	MRFAP1	10	7.304212e-10	1.354858e-5	1.354858e-6	1.278598e+2	3.910533e-2	5	3.910533e-5	5.000000e-3	1	6.658041e-2	1.000000e+0	1.000000e+0	1.501943e+1	6.658041e-2	1	1	8.097166e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed	MRFAP1
