# GREAT version 4.0.4	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	20291	SLC9B1P1	1	1.127491e-34	2.091383e-30	2.091383e-30	3.251129e+1	9.227563e-1	30	4.613782e-4	1.500000e-2	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	SLC9B1P1
Ensembl Genes	20071	BCORL1	2	9.687375e-18	1.796911e-13	8.984556e-14	7.778787e+1	1.414102e-1	11	7.070511e-5	5.500000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	BCORL1
Ensembl Genes	2273	GPRIN2	3	1.320533e-16	2.449457e-12	8.164856e-13	1.249886e+2	7.200659e-2	9	3.600330e-5	4.500000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	GPRIN2
Ensembl Genes	236	NBPF1	4	2.920730e-14	5.417662e-10	1.354416e-10	3.707066e+1	2.967306e-1	11	1.483653e-4	5.500000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	NBPF1
Ensembl Genes	20244	UBL4A	5	3.083478e-14	5.719543e-10	1.143909e-10	9.649768e+2	5.181472e-3	5	2.590736e-6	2.500000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed	UBL4A
Ensembl Genes	10295	CYTH2	6	1.948425e-12	3.614134e-8	6.023556e-9	1.782476e+2	3.366104e-2	6	1.683052e-5	3.000000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	CYTH2
Ensembl Genes	18862	SPATA31A7	7	3.933315e-12	7.295906e-8	1.042272e-8	1.924823e+1	6.234339e-1	12	3.117169e-4	6.000000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	SPATA31A7
Ensembl Genes	12526	TPTE	8	7.816044e-12	1.449798e-7	1.812248e-8	1.812420e+1	6.620982e-1	12	3.310491e-4	6.000000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	TPTE
Ensembl Genes	20245	SLC10A3	9	1.487243e-11	2.758687e-7	3.065208e-8	2.798550e+2	1.786640e-2	5	8.933198e-6	2.500000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed	SLC10A3
Ensembl Genes	10296	LMTK3	10	3.210589e-11	5.955322e-7	5.955322e-8	1.114189e+2	5.385082e-2	6	2.692541e-5	3.000000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	LMTK3
Ensembl Genes	20072	ELF4	11	3.683367e-11	6.832277e-7	6.211161e-8	6.310553e+1	1.109253e-1	7	5.546265e-5	3.500000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	ELF4
Ensembl Genes	20234	FLNA	12	3.879644e-11	7.196352e-7	5.996960e-8	1.079320e+2	5.559056e-2	6	2.779528e-5	3.000000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	FLNA
Ensembl Genes	10689	TMEM18	13	6.528364e-11	1.210946e-6	9.314971e-8	2.206956e+1	4.531128e-1	10	2.265564e-4	5.000000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	TMEM18
Ensembl Genes	19666	HDAC6	14	8.561858e-11	1.588139e-6	1.134385e-7	1.969487e+2	2.538732e-2	5	1.269366e-5	2.500000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed	HDAC6
Ensembl Genes	239	CROCC	15	1.014977e-10	1.882681e-6	1.255121e-7	3.676078e+1	2.176232e-1	8	1.088116e-4	4.000000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	CROCC
Ensembl Genes	8848	CHMP6	16	1.158459e-10	2.148826e-6	1.343016e-7	2.660928e+1	3.382279e-1	9	1.691139e-4	4.500000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	CHMP6
Ensembl Genes	19678	PRAF2	17	1.306131e-10	2.422742e-6	1.425143e-7	1.809286e+2	2.763522e-2	5	1.381761e-5	2.500000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed	PRAF2
Ensembl Genes	9187	ZNF236	18	1.161314e-9	2.154121e-5	1.196734e-6	2.038711e+1	4.414554e-1	9	2.207277e-4	4.500000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	ZNF236
Ensembl Genes	20235	EMD	19	1.282355e-9	2.378640e-5	1.251916e-6	3.009729e+2	1.329023e-2	4	6.645117e-6	2.000000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed	EMD
Ensembl Genes	11390	MZT2A	20	2.112343e-9	3.918185e-5	1.959093e-6	1.530983e+1	6.531751e-1	10	3.265875e-4	5.000000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	MZT2A
Ensembl Genes	8847	RPTOR	21	4.330076e-9	8.031858e-5	3.824694e-6	2.265357e+1	3.531453e-1	8	1.765726e-4	4.000000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	RPTOR
Ensembl Genes	9183	ZNF516	22	4.479671e-9	8.309342e-5	3.776974e-6	1.188655e+1	9.254159e-1	11	4.627079e-4	5.500000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	ZNF516
Ensembl Genes	3245	DGKZ	23	1.128295e-8	2.092874e-4	9.099454e-6	7.367472e+1	6.786589e-2	5	3.393294e-5	2.500000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed	DGKZ
Ensembl Genes	19433	MT-CO1	24	1.223670e-8	2.269785e-4	9.457440e-6	7.153373e+2	4.193826e-3	3	2.096913e-6	1.500000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed	MT-CO1
Ensembl Genes	19434	MT-CO2	24	1.223670e-8	2.269785e-4	9.457440e-6	7.153373e+2	4.193826e-3	3	2.096913e-6	1.500000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed	MT-CO2
Ensembl Genes	9192	NFATC1	26	1.708589e-8	3.169262e-4	1.218947e-5	1.893657e+1	4.224629e-1	8	2.112315e-4	4.000000e-3	1	1.133215e-1	1.000000e+0	1.000000e+0	8.824453e+0	1.133215e-1	1	1	4.757374e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	NFATC1
