# GREAT version 4.0.4	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	13166	PPARA	1	7.186030e-33	1.332937e-28	1.332937e-28	1.817972e+2	9.351078e-2	17	9.351078e-5	1.700000e-2	1	5.817025e-2	1.000000e+0	1.000000e+0	1.719092e+1	5.817025e-2	1	1	9.267841e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	PPARA
Ensembl Genes	13163	WNT7B	2	1.074113e-28	1.992372e-24	9.961861e-25	1.028783e+2	1.652437e-1	17	1.652437e-4	1.700000e-2	1	5.817025e-2	1.000000e+0	1.000000e+0	1.719092e+1	5.817025e-2	1	1	9.267841e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	WNT7B
Ensembl Genes	2273	GPRIN2	3	3.023186e-24	5.607708e-20	1.869236e-20	3.055276e+2	3.600330e-2	11	3.600330e-5	1.100000e-2	1	5.817025e-2	1.000000e+0	1.000000e+0	1.719092e+1	5.817025e-2	1	1	9.267841e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	GPRIN2
Ensembl Genes	1136	HIST2H3PS2	4	1.028465e-13	1.907700e-9	4.769249e-10	4.282771e+1	2.334937e-1	10	2.334937e-4	1.000000e-2	1	5.817025e-2	1.000000e+0	1.000000e+0	1.719092e+1	5.817025e-2	1	1	9.267841e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	HIST2H3PS2
Ensembl Genes	1135	NBPF16	5	2.710418e-13	5.027554e-9	1.005511e-9	3.878744e+1	2.578154e-1	10	2.578154e-4	1.000000e-2	1	5.817025e-2	1.000000e+0	1.000000e+0	1.719092e+1	5.817025e-2	1	1	9.267841e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	NBPF16
Ensembl Genes	10396	SHANK1	6	5.871472e-13	1.089099e-8	1.815166e-9	2.176124e+2	2.757196e-2	6	2.757196e-5	6.000000e-3	1	5.817025e-2	1.000000e+0	1.000000e+0	1.719092e+1	5.817025e-2	1	1	9.267841e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	SHANK1
Ensembl Genes	18862	SPATA31A7	7	1.723944e-12	3.197744e-8	4.568205e-9	3.208039e+1	3.117169e-1	10	3.117169e-4	1.000000e-2	1	5.817025e-2	1.000000e+0	1.000000e+0	1.719092e+1	5.817025e-2	1	1	9.267841e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	SPATA31A7
Ensembl Genes	20291	SLC9B1P1	8	3.148312e-12	5.839804e-8	7.299755e-9	2.384161e+1	4.613782e-1	11	4.613782e-4	1.100000e-2	1	5.817025e-2	1.000000e+0	1.000000e+0	1.719092e+1	5.817025e-2	1	1	9.267841e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	SLC9B1P1
Ensembl Genes	10295	CYTH2	9	1.098747e-11	2.038066e-7	2.264518e-8	2.970793e+2	1.683052e-2	5	1.683052e-5	5.000000e-3	1	5.817025e-2	1.000000e+0	1.000000e+0	1.719092e+1	5.817025e-2	1	1	9.267841e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed	CYTH2
Ensembl Genes	10394	SYT3	10	3.972594e-11	7.368765e-7	7.368765e-8	1.073704e+2	5.588133e-2	6	5.588133e-5	6.000000e-3	1	5.817025e-2	1.000000e+0	1.000000e+0	1.719092e+1	5.817025e-2	1	1	9.267841e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	SYT3
