,Chr,Start,End
2104616,chr16,55358421,55358422
2119675,chr8,38287416,38287417
2866552,chr12,131171305,131171306
2108682,chr19,49222298,49222299
3357846,chr9,136855982,136855983
3308826,chr7,158149675,158149676
889930,chr10,135123856,135123857
568389,chr2,120964369,120964370
2173290,chr16,877559,877560
2688841,chr2,73551516,73551517
2425700,chr18,76561310,76561311
3206663,chr4,74535501,74535502
1968150,chr8,128025442,128025443
1448263,chr2,240420591,240420592
3133549,chr21,38918927,38918928
3288702,chr7,57486910,57486911
392082,chr9,138642667,138642668
211271,chr22,46469942,46469943
3220988,chr5,2391209,2391210
3206664,chr4,74535530,74535531
622362,chr9,133068170,133068171
1992559,chr9,34401370,34401371
2944619,chr16,49714594,49714595
2960436,chr16,89251318,89251319
2935461,chr16,4909785,4909786
626821,chrX,136116473,136116474
3006844,chr18,34900385,34900386
640639,chr16,2656136,2656137
319389,chrX,64887729,64887730
2812224,chr11,2931113,2931114
3154934,chr22,43652899,43652900
2221868,chr10,64903678,64903679
2298073,chr10,82269595,82269596
3396923,chr1,164811058,164811059
2473430,chr2,161125858,161125859
2693081,chr21,47950499,47950500
3453184,chr17,79258780,79258781
2065770,chrX,70711986,70711987
187883,chr2,239147490,239147491
2866206,chr12,130627409,130627410
388292,chr8,142942222,142942223
2869725,chr13,19174028,19174029
688589,chr6,166747096,166747097
408195,chr14,30119668,30119669
2672496,chr12,89156667,89156668
2580122,chr7,6179465,6179466
72917,chr12,117103632,117103633
2778450,chr10,7601077,7601078
2491825,chr20,60595088,60595089
2743646,chr1,36192379,36192380
2127014,chr1,234667310,234667311
691043,chr8,143051262,143051263
2667314,chr10,52299025,52299026
2149970,chr20,62272766,62272767
2376702,chr16,1515536,1515537
483419,chr5,150660996,150660997
2998340,chr17,79763038,79763039
3294724,chr7,98701608,98701609
2242978,chr17,43073260,43073261
3187236,chr3,176973614,176973615
3006607,chr18,33230683,33230684
3345097,chr9,100111316,100111317
1167233,chr16,32290371,32290372
2195382,chr1,205769550,205769551
2174227,chr16,57782588,57782589
631435,chr10,43837823,43837824
2129478,chrY,13489908,13489909
571915,chr2,232290892,232290893
3111370,chr20,10491669,10491670
450326,chr1,1322734,1322735
3190161,chr3,194520912,194520913
927307,chr11,71600682,71600683
2474483,chr2,176006313,176006314
329885,chr10,131989095,131989096
3160130,chr22,49202383,49202384
2157229,chr8,40540897,40540898
2838066,chr11,120393093,120393094
119195,chr16,87898101,87898102
467234,chr17,72786461,72786462
2956854,chr16,87653051,87653052
2790612,chr10,86604406,86604407
3196316,chr4,2852175,2852176
3474715,chr2,118944387,118944388
2122190,chr15,30396032,30396033
2237123,chr6,160554791,160554792
714348,chr1,19377440,19377441
3247631,chr6,4663712,4663713
445402,chr8,143573114,143573115
3037600,chr19,14231243,14231244
3041841,chr19,18507797,18507798
3167053,chr3,16224346,16224347
575527,chr20,44937020,44937021
2675853,chr14,93522233,93522234
469827,chr19,3421235,3421236
