# GREAT version 4.0.4	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	20291	SLC9B1P1	1	1.356533e-16	2.516233e-12	2.516233e-12	3.034387e+1	4.613782e-1	14	4.613782e-4	1.400000e-2	1	7.224109e-2	1.000000e+0	1.000000e+0	1.384254e+1	7.224109e-2	1	1	7.462687e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	SLC9B1P1
Ensembl Genes	77	ARHGEF16	2	3.299631e-11	6.120486e-7	3.060243e-7	4.236800e+1	1.888218e-1	8	1.888218e-4	8.000000e-3	1	7.224109e-2	1.000000e+0	1.000000e+0	1.384254e+1	7.224109e-2	1	1	7.462687e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	ARHGEF16
Ensembl Genes	10396	SHANK1	3	1.284937e-10	2.383430e-6	7.944765e-7	1.813437e+2	2.757196e-2	5	2.757196e-5	5.000000e-3	1	7.224109e-2	1.000000e+0	1.000000e+0	1.384254e+1	7.224109e-2	1	1	7.462687e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed	SHANK1
Ensembl Genes	76	PRDM16	4	2.810478e-10	5.213156e-6	1.303289e-6	4.691352e+1	1.492107e-1	7	1.492107e-4	7.000000e-3	1	7.224109e-2	1.000000e+0	1.000000e+0	1.384254e+1	7.224109e-2	1	1	7.462687e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	PRDM16
Ensembl Genes	7657	KLHDC4	5	7.905134e-10	1.466323e-5	2.932647e-6	6.488712e+1	9.246827e-2	6	9.246827e-5	6.000000e-3	1	7.224109e-2	1.000000e+0	1.000000e+0	1.384254e+1	7.224109e-2	1	1	7.462687e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	KLHDC4
Ensembl Genes	13166	PPARA	6	8.447689e-10	1.566962e-5	2.611603e-6	6.416372e+1	9.351078e-2	6	9.351078e-5	6.000000e-3	1	7.224109e-2	1.000000e+0	1.000000e+0	1.384254e+1	7.224109e-2	1	1	7.462687e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	PPARA
Ensembl Genes	13418	KLHL40	7	3.012328e-9	5.587567e-5	7.982239e-6	2.427753e+2	1.647614e-2	4	1.647614e-5	4.000000e-3	1	7.224109e-2	1.000000e+0	1.000000e+0	1.384254e+1	7.224109e-2	1	1	7.462687e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed	KLHL40
Ensembl Genes	10394	SYT3	8	4.292328e-9	7.961839e-5	9.952299e-6	8.947532e+1	5.588133e-2	5	5.588133e-5	5.000000e-3	1	7.224109e-2	1.000000e+0	1.000000e+0	1.384254e+1	7.224109e-2	1	1	7.462687e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed	SYT3
Ensembl Genes	13417	ZBTB47	9	2.343021e-8	4.346070e-4	4.828966e-5	1.450529e+2	2.757615e-2	4	2.757615e-5	4.000000e-3	1	7.224109e-2	1.000000e+0	1.000000e+0	1.384254e+1	7.224109e-2	1	1	7.462687e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed	ZBTB47
Ensembl Genes	13163	WNT7B	10	2.420102e-8	4.489047e-4	4.489047e-5	3.631000e+1	1.652437e-1	6	1.652437e-4	6.000000e-3	1	7.224109e-2	1.000000e+0	1.000000e+0	1.384254e+1	7.224109e-2	1	1	7.462687e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	WNT7B
