,Chr,Start,End
393667,chrX,153607954,153607955
608526,chr7,35298410,35298411
2151949,chr5,506292,506293
2887936,chr14,42076819,42076820
2934605,chr16,4356748,4356749
2118142,chr7,8482257,8482258
113314,chr16,33965583,33965584
3189646,chr3,193576867,193576868
526386,chr13,58206207,58206208
638055,chr14,65654329,65654330
1623799,chr4,1972506,1972507
539904,chr16,49314818,49314819
2038645,chrM,3080,3081
1318051,chr19,38917443,38917444
261485,chr6,34361405,34361406
568136,chr2,113992952,113992953
595977,chr5,72861374,72861375
364886,chr2,231851904,231851905
349685,chr17,17463363,17463364
659920,chr6,6318179,6318180
51009,chr11,46369248,46369249
2875475,chr13,50706360,50706361
1329460,chr19,50058275,50058276
3127655,chr20,61877885,61877886
2821784,chr11,61957695,61957696
364885,chr2,231851892,231851893
673599,chr14,36528202,36528203
3068452,chr2,11726345,11726346
2128632,chr4,187627011,187627012
2109616,chr2,66653208,66653209
129378,chr17,41278652,41278653
319201,chrX,46772858,46772859
564699,chr2,29224142,29224143
113249,chr16,33961668,33961669
2230814,chr2,45164641,45164642
598505,chr5,141675184,141675185
626213,chrX,103173397,103173398
53855,chr11,65305947,65305948
471453,chr19,43893288,43893289
2887365,chr14,36978389,36978390
2128175,chr16,15059421,15059422
2165130,chr1,157165696,157165697
2982141,chr17,46697583,46697584
607523,chr7,8482270,8482271
499936,chr1,114695532,114695533
609105,chr7,56243724,56243725
3194824,chr4,1701564,1701565
368575,chr21,38070148,38070149
1286050,chr18,73717639,73717640
433535,chr3,117533351,117533352
683201,chr20,62317699,62317700
3563355,chr11,116729110,116729111
2786146,chr10,61122065,61122066
2873076,chr13,31480225,31480226
460911,chr14,57283557,57283558
689841,chr7,115586923,115586924
655682,chr3,123046345,123046346
626215,chrX,103173401,103173402
2183312,chr21,44768606,44768607
686075,chr4,6273557,6273558
2258702,chr1,1248179,1248180
306496,chr9,66493364,66493365
2395168,chr17,171394,171395
657761,chr4,175135937,175135938
2146273,chr19,49001749,49001750
3320159,chr8,57110855,57110856
656509,chr4,1399019,1399020
375273,chr4,1394661,1394662
271991,chr6,169653419,169653420
675179,chr16,1128689,1128690
174813,chr2,89220227,89220228
226958,chr3,179754615,179754616
273120,chr7,1659251,1659252
310248,chr9,101471899,101471900
45093,chr10,134499683,134499684
117159,chr16,74441078,74441079
193718,chr20,33146549,33146550
193716,chr20,33146537,33146538
1881588,chr7,100420297,100420298
2206494,chr10,135040988,135040989
47493,chr11,6478110,6478111
502024,chr1,175635757,175635758
1217611,chr17,18519351,18519352
2509187,chr22,43733496,43733497
2923997,chr15,99995302,99995303
232174,chr4,6667751,6667752
1253804,chr17,79547445,79547446
3146089,chr22,26318267,26318268
443940,chr8,6881626,6881627
117850,chr16,82045156,82045157
2114920,chr4,73434913,73434914
686907,chr5,1911818,1911819
3308154,chr7,157467211,157467212
2142839,chr17,79924068,79924069
2706631,chr8,1113311,1113312
660756,chr6,125667801,125667802
19413,chr1,149333192,149333193
2330352,chr12,34372420,34372421
3045517,chr19,31034608,31034609
2214373,chr22,27831893,27831894
2139635,chr16,57831745,57831746
1295473,chr19,4748152,4748153
3066522,chr2,5837519,5837520
631425,chr10,43598647,43598648
2112730,chr22,40060173,40060174
2668641,chr10,130339669,130339670
593563,chr4,174438760,174438761
3260297,chr6,95834417,95834418
551293,chr18,7257107,7257108
2697691,chr4,8547093,8547094
2182705,chr20,48995653,48995654
2307916,chr11,692912,692913
3240184,chr5,170741664,170741665
1314450,chr19,34742770,34742771
75742,chr12,130647289,130647290
2658574,chr22,23449879,23449880
2537538,chr4,54968017,54968018
2251616,chr1,50882441,50882442
2168022,chr11,61547229,61547230
3424648,chr13,73613381,73613382
651638,chr20,21695628,21695629
406829,chr12,132108102,132108103
70523,chr12,96183508,96183509
1996997,chr9,66456039,66456040
667970,chr1,21930223,21930224
329886,chr10,131989110,131989111
90369,chr14,88790328,88790329
2151990,chr5,785146,785147
3480143,chr2,242802169,242802170
568137,chr2,113992966,113992967
594304,chr5,1594632,1594633
3497734,chr3,130098304,130098305
191637,chr20,17950611,17950612
54032,chr11,65353035,65353036
2537539,chr4,54968019,54968020
361838,chr2,9920249,9920250
2166584,chr10,73791703,73791704
318893,chrX,20286506,20286507
2239877,chrX,11947764,11947765
3348827,chr9,124990854,124990855
625824,chrX,63424762,63424763
473665,chr2,131773556,131773557
3207317,chr4,80076348,80076349
365875,chr20,3725614,3725615
2167014,chr10,115821256,115821257
318910,chrX,21392302,21392303
449671,chrX,135056008,135056009
1773097,chr6,11198313,11198314
535368,chr15,79237293,79237294
3208944,chr4,99595252,99595253
2099815,chr11,66468034,66468035
