# GREAT version 4.0.4	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	20071	BCORL1	1	1.150074e-25	2.133272e-21	2.133272e-21	1.060744e+2	1.414102e-1	15	7.070511e-5	7.500000e-3	1	1.081999e-1	1.000000e+0	1.000000e+0	9.242152e+0	1.081999e-1	1	1	4.982561e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	BCORL1
Ensembl Genes	8848	CHMP6	2	3.533867e-25	6.554970e-21	3.277485e-21	5.321856e+1	3.382279e-1	18	1.691139e-4	9.000000e-3	1	1.081999e-1	1.000000e+0	1.000000e+0	9.242152e+0	1.081999e-1	1	1	4.982561e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	CHMP6
Ensembl Genes	8847	RPTOR	3	3.899160e-23	7.232552e-19	2.410851e-19	4.813883e+1	3.531453e-1	17	1.765726e-4	8.500000e-3	1	1.081999e-1	1.000000e+0	1.000000e+0	9.242152e+0	1.081999e-1	1	1	4.982561e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	RPTOR
Ensembl Genes	20244	UBL4A	4	2.655848e-17	4.926332e-13	1.231583e-13	1.157972e+3	5.181472e-3	6	2.590736e-6	3.000000e-3	1	1.081999e-1	1.000000e+0	1.000000e+0	9.242152e+0	1.081999e-1	1	1	4.982561e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	UBL4A
Ensembl Genes	20234	FLNA	5	2.123401e-15	3.938697e-11	7.877393e-12	1.439093e+2	5.559056e-2	8	2.779528e-5	4.000000e-3	1	1.081999e-1	1.000000e+0	1.000000e+0	9.242152e+0	1.081999e-1	1	1	4.982561e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	FLNA
Ensembl Genes	20016	PGRMC1	6	3.838108e-15	7.119307e-11	1.186551e-11	5.999139e+1	1.666906e-1	10	8.334530e-5	5.000000e-3	1	1.081999e-1	1.000000e+0	1.000000e+0	9.242152e+0	1.081999e-1	1	1	4.982561e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	PGRMC1
Ensembl Genes	20291	SLC9B1P1	7	5.259994e-15	9.756763e-11	1.393823e-11	1.733936e+1	9.227563e-1	16	4.613782e-4	8.000000e-3	1	1.081999e-1	1.000000e+0	1.000000e+0	9.242152e+0	1.081999e-1	1	1	4.982561e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	SLC9B1P1
Ensembl Genes	20235	EMD	8	7.510540e-15	1.393130e-10	1.741413e-11	4.514593e+2	1.329023e-2	6	6.645117e-6	3.000000e-3	1	1.081999e-1	1.000000e+0	1.000000e+0	9.242152e+0	1.081999e-1	1	1	4.982561e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	EMD
Ensembl Genes	20245	SLC10A3	9	4.415698e-14	8.190678e-10	9.100754e-11	3.358260e+2	1.786640e-2	6	8.933198e-6	3.000000e-3	1	1.081999e-1	1.000000e+0	1.000000e+0	9.242152e+0	1.081999e-1	1	1	4.982561e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	SLC10A3
Ensembl Genes	20070	UTP14A	10	3.485020e-13	6.464364e-9	6.464364e-10	7.564554e+1	1.057564e-1	8	5.287820e-5	4.000000e-3	1	1.081999e-1	1.000000e+0	1.000000e+0	9.242152e+0	1.081999e-1	1	1	4.982561e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	UTP14A
